Record ID,Date,Job Number,Product Code,Stage,Work Centre,Operator ID,Operator Name,Hours Worked,Units Completed,Units Scrapped,Scrap Reason,Notes
135,2026-06-10,JOB-1010,PRD-110,Casting,WC-200,OP-106,"Singh, A.",8.0,4,0,,
142,2026-06-11,JOB-1010,PRD-110,Casting,WC-200,OP-106,"Singh, A.",8.0,4,0,,
149,2026-06-12,JOB-1010,PRD-110,Casting,WC-200,OP-106,"Singh, A.",8.0,4,0,,
156,2026-06-15,JOB-1010,PRD-110,Casting,WC-200,OP-106,"Singh, A.",8.0,4,0,,
163,2026-06-16,JOB-1010,PRD-110,Casting,WC-200,OP-106,"Singh, A.",8.0,4,0,,
169,2026-06-17,JOB-1010,PRD-110,Mixing,WC-100,OP-103,"Ferreira, M.",5.82,12,0,,
170,2026-06-17,JOB-1010,PRD-110,Casting,WC-200,OP-106,"Singh, A.",8.0,4,0,,
176,2026-06-18,JOB-1010,PRD-110,Mixing,WC-100,OP-101,"Kowalski, D.",5.82,12,0,,
177,2026-06-18,JOB-1010,PRD-110,Casting,WC-200,OP-106,"Singh, A.",8.0,4,0,,
182,2026-06-19,JOB-1010,PRD-110,Casting,WC-200,OP-101,"Kowalski, D.",5.07,4,4,Wrong size,
187,2026-06-22,JOB-1010,PRD-110,Casting,WC-200,OP-104,"Osei, K.",5.07,4,2,Chipped edge,
193,2026-06-23,JOB-1010,PRD-110,Casting,WC-200,OP-102,"Nguyen, T.",6.33,5,4,Surface defect,
200,2026-06-24,JOB-1010,PRD-110,Casting,WC-200,OP-101,"Kowalski, D.",6.33,5,3,Surface defect,
207,2026-06-25,JOB-1010,PRD-110,Casting,WC-200,OP-103,"Ferreira, M.",5.07,4,3,Cracking,
211,2026-06-26,JOB-1010,PRD-110,Casting,WC-200,OP-101,"Kowalski, D.",2.53,2,3,Chipped edge,
215,2026-06-29,JOB-1010,PRD-110,Curing,WC-300,OP-101,"Kowalski, D.",6.2,21,0,,
221,2026-06-30,JOB-1010,PRD-110,Curing,WC-300,OP-104,"Osei, K.",0.89,3,0,,
228,2026-07-01,JOB-1010,PRD-110,Finishing,WC-350,OP-104,"Osei, K.",7.24,7,3,Chipped edge,
233,2026-07-02,JOB-1010,PRD-110,Finishing,WC-350,OP-101,"Kowalski, D.",6.52,5,4,Cracking,
238,2026-07-03,JOB-1010,PRD-110,Finishing,WC-350,OP-102,"Nguyen, T.",3.62,2,3,Wrong size,
